speaker,start,end
A,0.61090625,6.3821562499999995
A,6.68590625,6.9896562499999995
B,7.95659375,8.707531249999999
B,9.507406249999999,11.591468749999999
A,11.591468749999999,18.71271875
A,18.99284375,25.116781250000003
B,27.10128125,41.01978125
B,41.210468750000004,42.79165625
B,43.14265625,54.07596875
B,54.61090625,55.05640625
B,55.81071875,58.507343750000004
A,59.13846875,59.87928125
A,60.27753125,60.39228125
A,60.88503125,64.16215625000001
A,66.10446875,72.47646875000001
A,73.25271875000001,76.83865625000001
A,77.01078125000001,78.90246875
A,79.45428125000001,85.84146874999999
A,87.23871875,87.71121875
A,88.23096874999999,92.14259375
A,93.38459375,94.70253124999999
B,94.70253124999999,96.97390625
A,97.41096875,102.01615625
A,103.63109374999999,107.09890625
A,107.52078125,112.79759375
B,114.09865625,128.95878125
A,129.37053125,139.27615624999999
A,140.92990625,152.21590625
A,152.58715625,159.02496875
B,159.95815625,171.51078124999998
B,171.74365625,174.58371875
B,174.94146874999998,177.72246875
B,178.16965625,178.39746875
B,178.78728124999998,179.11128125
